Date ID,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),ADX,MACD,MACD_Sig,MACD_Hist,MOM,ATR,RSI,SlowD,SlowK,WILLR,Upper_Band,Middle_Band,Lower_Band,SMA,EMA,Actual Close Value,Label
11719,-0.8706188473,-0.8565398916,-0.8441747825,-0.8409022718,1.110024335,0.3005429529,2.329526772,1.995539586,1.899775521,0.6521081195,1.031212664,-0.5645439451,2.113612852,1.228401337,1.356700608,1.209587771,-0.8728352098,-0.8888906232,-0.9038854551,-1.097021857,-1.063882666,5505.35,1
18794,-0.8406676296,-0.8512457168,-0.8883332975,-0.9047309147,1.678230381,0.8817674881,2.35826125,1.909214896,1.92862195,0.3084578311,0.6726735142,-0.3408371378,1.130279899,0.4638248298,1.055869906,0.3414509002,-0.896029166,-0.8776652751,-0.8580539956,-1.080832319,-1.053050656,5483.3,0
25869,-0.9155926192,-0.9092310284,-0.9074958349,-0.9185562739,2.466576826,0.9935144659,2.314638664,1.791625911,1.926604862,-0.04228513707,0.4105542554,-0.3592359591,0.9422854118,-0.3793979964,0.4725928105,0.08019793826,-0.8919060341,-0.8837807643,-0.8744600689,-1.067377306,-1.043825793,5429.3,0
32944,-0.9224153627,-0.9192555015,-0.9419319496,-0.9524142966,3.489842699,3.801999073,2.158680672,1.614455855,1.887181984,-0.4673766046,-0.0570226969,-0.2344443917,0.5029327334,-1.385918388,-0.4695067198,-0.7398828632,-0.8810307283,-0.8954272201,-0.908744934,-1.055310787,-1.03742051,5281.2,0
14452,-0.9418507923,-0.9641150186,-1.028335862,-1.045273059,1.184644406,0.1242501951,1.801610622,1.285340795,1.78540845,-1.175949561,-0.6157819163,0.1226959548,-0.4541857677,-1.660426056,-1.23500443,-1.711703691,-0.8604369218,-0.9310139619,-1.000794715,-1.045757993,-1.03752917,5375.5,0
21527,-1.027980104,-1.000892304,-1.004312125,-0.9861469193,0.7001371313,0.165826123,1.470045576,1.117292117,1.668126974,-1.352186813,-0.2077234152,0.1926394787,0.04440688477,-1.463494976,-1.625670975,-0.8955322758,-0.9223962995,-0.9601332439,-0.9968439328,-1.034940906,-1.033746311,5385.2,1
28602,-0.9563412978,-0.9584762524,-0.9755839998,-0.9800650152,1.018952999,0.4091724031,1.242775652,0.9808974033,1.5451943,-1.416408846,-0.2846212541,0.2453689073,0.09246293956,-1.066144684,-1.510436922,-0.8115782702,-0.9547430593,-0.9752365538,-0.994583285,-1.024085603,-1.029807933,5339.75,1
39087,-0.9932404468,-1.012577081,-1.009926027,-1.008562184,0.4993485806,-0.2031969192,0.9535653739,0.8079804685,1.409946596,-1.556360826,-1.052885422,0.2255821762,-0.1819534518,-0.7694058884,-1.189347779,-1.204950389,-0.9943465052,-0.9932813323,-0.9909198193,-1.016178196,-1.027995871,5359.35,0
6445,-0.9910809546,-0.9999838364,-0.9989177606,-0.9962729761,0.2882159115,-0.2333469939,0.7118806376,0.682583534,1.274987935,-1.553076042,-0.9119457292,0.170007315,-0.07290468576,-0.5508682945,-0.8604724848,-1.035311368,-1.018977074,-1.002074312,-0.9837711239,-1.00761051,-1.025493331,5359.4,1
13520,-0.9969647884,-1.01436269,-0.9748626604,-0.996241626,-2.710437476,-2.649305144,0.4874590968,0.5735573766,1.143754136,-1.510745509,-1.113356168,-0.1051714424,-0.07261342515,-0.6121868105,-0.6968836571,-1.034878615,-1.035866345,-0.9922442761,-0.9470782135,-1.000370811,-1.023150186,5280.35,1
